name,Age,G,GS,MP,FG,FGA,FG_Per,threeP,threePA,threeP_Perc,twoP,twoPA,twoP_Per,eFG_Per,FT,FTA,FT_Per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS_Game,Salary
Raymond Felton,32,80,11,21.3,2.8,6.4,0.43,0.6,1.8,0.319,2.2,4.6,0.473,0.475,0.6,0.8,0.781,0.4,2.3,2.7,2.4,0.8,0.3,1,1.6,6.7,1526
Yogi Ferrell,23,46,29,26,3.5,8.6,0.406,1.5,3.8,0.386,2,4.7,0.422,0.492,1.6,1.9,0.831,0.4,2,2.4,3.7,0.9,0.2,1.5,2,10,1146
Dorian Finney-Smith,23,81,35,20.3,1.5,4.1,0.372,0.7,2.4,0.293,0.8,1.8,0.479,0.456,0.6,0.8,0.754,0.7,2.1,2.7,0.8,0.6,0.3,0.6,1.5,4.3,1146
Bryn Forbes,23,36,0,7.9,1,2.8,0.364,0.5,1.5,0.321,0.5,1.3,0.413,0.449,0.1,0.2,0.833,0.1,0.6,0.6,0.6,0,0,0.3,0.6,2.6,1146
Evan Fournier,26,68,66,32.9,6,13.7,0.439,1.9,5.3,0.356,4.1,8.4,0.491,0.508,3.3,4.1,0.805,0.6,2.4,3.1,3,1,0.1,2.1,2.6,17.2,4123
Randy Foye,26,69,40,18.6,1.7,4.7,0.363,1,2.9,0.33,0.7,1.8,0.418,0.466,0.8,0.9,0.857,0.1,2.1,2.2,2,0.5,0.1,1.2,1.4,5.2,1994
Tim Frazier,26,65,35,23.5,2.5,6.2,0.403,0.6,2,0.313,1.9,4.2,0.446,0.453,1.5,2,0.76,0.5,2.1,2.7,5.2,0.9,0.1,1.6,2,7.1,1414
Channing Frye,26,74,15,18.9,3.2,7,0.458,1.9,4.5,0.409,1.4,2.5,0.546,0.589,0.9,1,0.851,0.5,3.4,3.9,0.6,0.4,0.5,0.7,1.9,9.1,2724
Danilo Gallinari,26,63,63,33.9,5.3,11.9,0.447,2,5.1,0.389,3.3,6.8,0.491,0.531,5.5,6.1,0.902,0.6,4.5,5.2,2.1,0.6,0.2,1.3,1.5,18.2,4534
Langston Galloway,26,74,2,20.2,2.8,7.4,0.38,1.6,4.2,0.39,1.2,3.2,0.367,0.49,0.7,0.9,0.797,0.4,1.7,2.1,1.3,0.6,0.1,0.6,1.3,7.9,2582
Patricio Garino,26,5,0,8.6,0,1.4,0,0,1,0,0,0.4,0,0,0,0,0,0.2,1.2,1.4,0,0,0,0.6,0.8,0,1994
Marc Gasol,26,74,74,34.2,7.2,15.7,0.459,1.4,3.6,0.388,5.8,12.1,0.48,0.503,3.8,4.5,0.837,0.8,5.5,6.3,4.6,0.9,1.3,2.2,2.3,19.5,4758
Pau Gasol,26,64,39,25.4,4.7,9.4,0.502,0.9,1.6,0.538,3.9,7.8,0.494,0.548,2,2.9,0.707,1.7,6.2,7.8,2.3,0.4,1.1,1.3,1.7,12.4,4000
Rudy Gay,26,30,30,33.8,6.7,14.7,0.455,1.4,3.8,0.372,5.3,11,0.483,0.502,3.9,4.6,0.855,1.2,5.2,6.3,2.8,1.5,0.9,2.5,2.6,18.7,2899
Michael Gbinije,26,9,0,3.6,0.1,1.1,0.1,0,0.4,0,0.1,0.7,0.167,0.1,0.2,0.2,1,0.2,0.1,0.3,0.2,0,0,0,0.2,0.4,707
Alonzo Gee,26,13,0,6.8,0.2,1.1,0.214,0,0.2,0,0.2,0.8,0.273,0.214,0.4,0.7,0.556,0.3,0.8,1.2,0.5,0.4,0.1,0.3,1.1,0.8,1994
Paul George,26,75,75,35.9,8.3,18,0.461,2.6,6.6,0.393,5.7,11.4,0.501,0.534,4.5,5,0.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7,4417
Marcus Georges-Hunt,26,5,0,9.6,0.4,1.4,0.286,0.2,0.4,0.5,0.2,1,0.2,0.357,1.8,2,0.9,0.2,1.6,1.8,0.6,0.2,0,0.4,1,2.8,1146
Jonathan Gibson,26,17,0,13.6,2.1,5.6,0.368,0.9,2.6,0.333,1.2,2.9,0.4,0.447,1.2,1.7,0.724,0.1,1.2,1.3,1.5,0.5,0,1.2,1.2,6.2,1994
Taj Gibson,26,78,71,25.5,4.7,9.1,0.515,0,0.2,0.231,4.6,8.9,0.52,0.517,1.4,2,0.715,2,4.2,6.2,0.9,0.5,0.8,1.3,2.1,10.8,3742
Manu Ginobili,26,69,0,18.7,2.5,6.4,0.39,1.3,3.3,0.392,1.2,3.1,0.387,0.491,1.2,1.6,0.804,0.4,1.9,2.3,2.7,1.2,0.2,1.4,1.7,7.5,1581
Rudy Gobert,26,81,81,33.9,5.1,7.7,0.661,0,0,0,5.1,7.7,0.662,0.661,3.8,5.9,0.653,3.9,8.9,12.8,1.2,0.6,2.6,1.8,3,14,4688
Archie Goodwin,26,15,0,14.3,2.4,4.4,0.545,0.3,1,0.333,2.1,3.4,0.608,0.583,2.2,2.8,0.786,0.5,1.4,1.9,1.6,0.3,0.3,0.9,0.5,7.3,1994
Aaron Gordon,26,80,72,28.7,4.9,10.8,0.454,1,3.3,0.288,4,7.5,0.528,0.499,2,2.7,0.719,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7,2346
Eric Gordon,26,75,15,31,5.5,13.5,0.406,3.3,8.8,0.372,2.2,4.7,0.468,0.527,2,2.3,0.84,0.4,2.3,2.7,2.5,0.6,0.5,1.6,2,16.2,3598
Marcin Gortat,26,82,82,31.2,4.8,8.2,0.579,0,0,0,4.8,8.2,0.58,0.579,1.3,1.9,0.648,2.9,7.5,10.4,1.5,0.5,0.7,1.5,2.6,10.8,3575
Treveon Graham,26,27,1,7,0.7,1.5,0.475,0.3,0.6,0.6,0.4,0.9,0.4,0.588,0.4,0.6,0.667,0.2,0.6,0.8,0.2,0.2,0,0.1,0.7,2.1,1146
Jerami Grant,26,80,4,19.1,1.9,4.1,0.463,0.5,1.5,0.371,1.4,2.7,0.514,0.529,1.1,1.8,0.612,0.5,2.1,2.6,0.6,0.4,1,0.6,1.9,5.5,1235
Jerian Grant,26,63,28,16.3,2,4.8,0.425,0.8,2.1,0.366,1.3,2.7,0.473,0.507,1,1.2,0.89,0.3,1.5,1.8,1.9,0.7,0.1,0.7,1.5,5.9,1309
Danny Green,26,68,68,26.6,2.6,6.6,0.392,1.7,4.6,0.379,0.9,2,0.42,0.523,0.4,0.5,0.844,0.5,2.8,3.3,1.8,1,0.8,1.1,1.8,7.3,3162
Draymond Green,26,76,76,32.5,3.6,8.6,0.418,1.1,3.5,0.308,2.5,5.1,0.494,0.481,2,2.8,0.709,1.3,6.6,7.9,7,2,1.4,2.4,2.9,10.2,4050
Gerald Green,26,47,0,11.4,2,4.9,0.409,0.8,2.4,0.351,1.2,2.6,0.463,0.494,0.7,0.9,0.805,0.3,1.4,1.8,0.7,0.2,0.1,0.5,1,5.6,973
JaMychal Green,26,77,75,27.3,3.2,6.5,0.5,0.7,1.9,0.379,2.5,4.6,0.549,0.555,1.7,2.2,0.802,2.2,4.9,7.1,1.1,0.6,0.4,1.2,3.2,8.9,2921
Jeff Green,26,69,11,22.2,3.2,8.1,0.394,0.8,2.8,0.275,2.4,5.3,0.458,0.442,2.1,2.4,0.863,0.6,2.5,3.1,1.2,0.5,0.2,1.1,1.5,9.2,1455
Blake Griffin,26,61,61,34,7.9,15.9,0.493,0.6,1.9,0.336,7.2,14.1,0.514,0.513,5.2,6.9,0.76,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6,5433
Justin Hamilton,26,64,7,18.4,2.7,5.9,0.459,0.9,2.8,0.306,1.9,3.1,0.598,0.532,0.6,0.8,0.75,1.1,3,4.1,0.9,0.5,0.7,0.7,1.4,6.9,1000
A.J. Hammons,26,22,0,7.4,0.8,1.9,0.405,0.2,0.5,0.5,0.5,1.5,0.375,0.464,0.4,0.9,0.45,0.4,1.3,1.6,0.2,0,0.6,0.5,1,2.2,1146
Tim Hardaway,26,79,30,27.3,5.3,11.5,0.455,1.9,5.3,0.357,3.4,6.3,0.537,0.537,2.1,2.7,0.766,0.4,2.4,2.8,2.3,0.7,0.2,1.3,1.3,14.5,4062
Maurice Harkless,26,77,69,28.9,4.1,8.1,0.503,0.9,2.5,0.351,3.2,5.6,0.572,0.558,1,1.6,0.621,1.6,2.8,4.4,1.1,1.1,0.9,1.1,2.8,10,3188
Justin Harper,26,3,0,10.3,1.7,4,0.417,0.7,2.3,0.286,1,1.7,0.6,0.5,0,0,0,0.7,1,1.7,0.7,0,0,1.3,0.7,4,1994
Montrezl Harrell,26,58,14,18.3,3.9,5.9,0.652,0,0.1,0.143,3.9,5.8,0.663,0.654,1.3,2.1,0.628,1.4,2.4,3.8,1.1,0.3,0.7,0.8,2.2,9.1,1213
Devin Harris,33,65,0,16.7,2.1,5.2,0.399,0.9,2.7,0.328,1.2,2.5,0.476,0.484,1.6,2,0.829,0.2,1.8,2,2.1,0.7,0.1,0.9,1.6,6.7,2098
Gary Harris,22,57,56,31.3,5.6,11.2,0.502,1.9,4.5,0.42,3.7,6.7,0.558,0.586,1.8,2.4,0.776,0.8,2.3,3.1,2.9,1.2,0.1,1.3,1.6,14.9,1597
Joe Harris,25,52,11,21.9,3,7,0.425,1.6,4.3,0.385,1.3,2.7,0.489,0.543,0.7,0.9,0.714,0.3,2.5,2.8,1,0.6,0.2,1.1,2.3,8.2,1235
Manny Harris,27,4,0,6.3,0.8,3.8,0.2,0,0.5,0,0.8,3.3,0.231,0.2,0.5,1,0.5,0.8,1.5,2.3,0.5,0,0,0.5,0.3,2,1994
Tobias Harris,24,82,48,31.3,6.2,13,0.481,1.3,3.8,0.347,4.9,9.1,0.537,0.532,2.3,2.8,0.841,0.8,4.3,5.1,1.7,0.7,0.5,1.2,1.6,16.1,4000
Aaron Harrison,22,5,0,3.4,0,0.8,0,0,0.4,0,0,0.4,0,0,0.2,0.4,0.5,0,0.6,0.6,0.6,0,0,0,0.4,0.2,288
Andrew Harrison,22,72,18,20.5,1.6,5,0.325,0.6,2.2,0.276,1,2.8,0.363,0.385,2.1,2.7,0.763,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,5.9,1146
Udonis Haslem,36,16,0,8.1,0.7,1.4,0.478,0,0.2,0,0.7,1.3,0.55,0.478,0.6,0.9,0.6,0.5,1.8,2.3,0.4,0.4,0.1,0.5,1.4,1.9,1526
Spencer Hawes,28,54,1,14.8,2.5,5.1,0.484,0.5,1.5,0.309,2,3.6,0.556,0.529,0.8,1,0.846,0.7,2.8,3.5,1.5,0.3,0.6,0.9,1.4,6.2,2454
Gordon Hayward,26,73,73,34.5,7.5,15.8,0.471,2,5.1,0.398,5.4,10.7,0.506,0.536,5,5.9,0.844,0.7,4.7,5.4,3.5,1,0.3,1.9,1.6,21.9,5452
Gerald Henderson,29,72,41,23.2,3.3,7.7,0.423,0.8,2.4,0.353,2.4,5.3,0.455,0.478,1.8,2.3,0.806,0.5,2.1,2.6,1.6,0.6,0.2,0.9,1.8,9.2,1000
John Henson,26,58,39,19.4,2.7,5.3,0.515,0,0,0,2.7,5.3,0.516,0.515,1.3,1.8,0.692,1.6,3.5,5.1,1,0.5,1.3,0.9,2.6,6.8,3380
Juan Hernangomez,21,62,9,13.6,1.6,3.6,0.451,0.7,1.8,0.407,0.9,1.8,0.495,0.554,0.9,1.2,0.75,0.7,2.3,3,0.5,0.5,0.2,0.5,1,4.9,1441
Willy Hernangomez,22,72,22,18.4,3.4,6.5,0.529,0.1,0.2,0.267,3.4,6.3,0.538,0.533,1.3,1.7,0.728,2.4,4.6,7,1.3,0.6,0.5,1.4,2.1,8.2,1198
Mario Hezonja,21,65,2,14.8,1.8,5.1,0.355,0.7,2.2,0.299,1.1,2.9,0.398,0.42,0.6,0.8,0.8,0.3,1.9,2.2,1,0.5,0.2,0.9,1.1,4.9,2019
Roy Hibbert,30,48,13,14.2,1.7,3.1,0.544,0,0,0,1.7,3.1,0.544,0.544,1.3,1.6,0.813,1.1,2,3.2,0.4,0.2,1,0.7,2.1,4.6,1994
Buddy Hield,23,82,55,23,4,9.4,0.426,1.8,4.6,0.391,2.2,4.7,0.461,0.523,0.8,0.9,0.842,0.4,2.9,3.3,1.5,0.5,0.1,1.2,1.4,10.6,1917
Nene Hilario,34,67,8,17.9,3.7,5.9,0.617,0,0.1,0.333,3.6,5.8,0.624,0.621,1.7,2.9,0.589,1.4,2.8,4.2,1,0.8,0.6,1.1,2.4,9.1,1865
George Hill,30,49,49,31.5,5.9,12.4,0.477,1.9,4.8,0.403,4,7.6,0.523,0.554,3.2,4,0.801,0.5,2.9,3.4,4.2,1,0.2,1.7,2.3,16.9,4472
Jordan Hill,29,7,0,6.7,0.7,1.9,0.385,0,0,0,0.7,1.9,0.385,0.385,0.3,0.3,1,1.1,0.9,2,0,0.1,0,0.6,1.3,1.7,1994
Solomon Hill,25,80,71,29.7,2.3,6,0.383,1.2,3.4,0.348,1.1,2.6,0.428,0.481,1.3,1.6,0.805,0.6,3.2,3.8,1.8,0.9,0.4,1,2.3,7,3498
Darrun Hilliard,23,39,1,9.8,1.2,3.2,0.373,0.3,1.2,0.261,0.9,2.1,0.438,0.421,0.5,0.7,0.75,0.1,0.8,0.8,0.8,0.3,0.1,0.7,1,3.3,1994
